,id,Degree,In-degree,Out-degree,Weighted degree,Weighted in-degree,Weighted out-degree,Clustering coefficient,Pagerank,Degree centrality,In-degree centrality,Out-degree centrality,Betweenness centrality,Clossness centrality,Eigenvector centrality,Katz centrality,Harmonic centrality,Load centrality,Mean shortest path length,Max shortest path length
79,61; IES Domènech i Montaner,4,2,2,9.0,5.0,4.0,0.08333333333333333,0.008938586496556062,0.019704433497536946,0.009852216748768473,0.009852216748768473,0.052760571623664834,0.07075636110142906,0.24008431965035285,0.07514740534753941,21.784732300612227,0.052760571623664834,15.88,34
80,166; IES Gaudí - Mas Carandell,2,1,1,4.0,2.0,2.0,0.0,0.0042023944001035535,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.039225966931668535,0.060615108987757536,0.05747985068144419,0.06806733897461262,16.19078575712388,0.039225966931668535,17.14,35
81,63; IPM 1,2,1,1,4.0,2.0,2.0,0.0,0.003994169626139598,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.12871287128712872,0.05563167991230474,0.028908302339797725,0.06805976188942896,14.582235945501445,0.12871287128712872,16.99,36
82,211; IPM 2,2,1,1,4.0,2.0,2.0,0.0,0.0034232060683971224,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.12871287128712872,0.06593049691458265,0.08030613714465745,0.06813688644848116,17.73098965377328,0.12871287128712872,19.78,39
83,62; Immaculada,2,1,1,2.0,1.0,1.0,0.0,0.003383756103132086,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.06213724820757938,0.03655023406553835,0.0003942885003565693,0.06805968838496476,10.296162407094352,0.06213724820757938,29.18,47
84,168; Jardins de Reus 1,2,1,1,4.0,2.0,2.0,0.0,0.0047666362111338486,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.10593165227852834,0.0559228650137741,0.011226093479117051,0.06806873555943224,15.6772950617168,0.10833780422377214,16.75,37
85,64; Jardins de Reus 2,2,1,1,2.0,1.0,1.0,0.0,0.0024959041517065472,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.019558113446812662,0.05626385809312639,0.031665759620022556,0.06807399112862189,15.088108338757138,0.019558113446812662,17.42,42
86,65; Jaume I 1,2,1,1,2.0,1.0,1.0,0.0,0.0026905778879236807,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.01703409257181876,0.06527331189710611,0.020842964738507382,0.06894466375770603,19.385396286886944,0.01703409257181876,19.49,40
87,194; Jaume I 2,2,1,1,4.0,2.0,2.0,0.0,0.0036503110463073692,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.22249589490968796,0.06153379812064262,0.045312848937353406,0.06806059494002312,16.108652775726192,0.22011412963956495,14.73,39
88,224; Jaume Vidal Alcover,2,1,1,4.0,2.0,2.0,0.0,0.003907466788976527,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.033369100456843714,0.06278997834828333,0.050548236675307355,0.07010155051960514,19.096507754877496,0.03373896502950788,20.46,43
